id,name,dt_create
1,"City","2024-07-03"
2,"Jungle","2024-07-03"
3,"Forest","2024-07-03"
4,"Mountain","2024-07-03"
5,"Bedroom","2024-07-03"
6,"Kitchen","2024-07-03"
7,"Bathroom","2024-07-03"
8,"Cafe","2024-07-03"
9,"Office","2024-07-03"
10,"Coffee Shop","2024-07-12"
11,"Beach","2024-07-12"
12,"Hospital","2024-07-12"
13,"School","2024-07-12"
14,"House","2024-07-12"
15,"Castle","2024-07-12"
16,"Police station","2024-07-12"
17,"Library","2024-07-12"
18,"Village","2024-07-12"
19,"Laboratory","2024-07-12"
20,"Dance club","2024-07-12"